img_address,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,0_15,0_16,0_17,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,2_13,2_14,2_15,2_16,2_17,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,3_13,3_14,3_15,3_16,3_17,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,4_13,4_14,4_15,4_16,4_17,5_6,5_7,5_8,5_9,5_10,5_11,5_12,5_13,5_14,5_15,5_16,5_17,6_7,6_8,6_9,6_10,6_11,6_12,6_13,6_14,6_15,6_16,6_17,7_8,7_9,7_10,7_11,7_12,7_13,7_14,7_15,7_16,7_17,8_9,8_10,8_11,8_12,8_13,8_14,8_15,8_16,8_17,9_10,9_11,9_12,9_13,9_14,9_15,9_16,9_17,10_11,10_12,10_13,10_14,10_15,10_16,10_17,11_12,11_13,11_14,11_15,11_16,11_17,12_13,12_14,12_15,12_16,12_17,13_14,13_15,13_16,13_17,14_15,14_16,14_17,15_16,15_17,16_17,0_1_2,1_2_3,2_3_4,1_5_6,5_6_7,0_1_5,1_5_11,1_2_8,1_11_12,11_12_13,1_8_9,8_9_10,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,action_class
/home/bardia/downloads/five class dataset/arms wide open/armsWideOpen_136.jpg,1.0670492793007422,1.3589764442871413,3.0274556592848803,3.8054380404408814,1.5194970238282566,3.1564239391599065,4.391754055506229,3.837290849154903,,,4.081156152828092,,,0.2384990891020449,0.2575131013123024,0.4635235823621443,0.5261367915016469,1.0,2.5738288120823225,3.741677078826596,0.9478363528806161,2.4159462629406794,3.922933170045857,2.8494496653258263,,,3.01411357393924,,,1.2591252536431479,1.227719198232325,1.2991019138209936,1.2574563933578695,1.695267419592444,2.7437198875071545,1.9478350296372613,3.334758758000982,4.907222042628168,2.7106235640717053,,,3.306612617566884,,,1.39282084161835,1.613314955577055,1.2201339231620965,1.8163549485563937,1.5716739964743434,3.4684592046537297,4.519010504380058,6.224813678698523,2.273014075090276,,,3.436607505444584,,,3.014871285032072,3.284904609056144,2.7837101403691205,3.5071502895586653,4.688475313605003,5.948453548348364,7.603170922414504,3.7935408209109176,,,5.003461813668316,,,3.697612758523435,4.045542751090255,3.4176450476427456,4.330935199847207,1.6370039413269093,3.0001719176597685,3.272488451633897,,,3.0318211172110523,,,1.7578923961359447,1.5197879387338538,1.928045453064685,1.3393157126866455,1.7379961767178551,3.4202311526615143,,,2.5364568440137822,,,3.3948566356734,3.1435120709628,3.559295207689147,2.9281226325904384,5.111525150133566,,,4.072770491371998,,,4.619775149131105,4.293000766949383,4.844912803820968,4.0095395382968775,,,1.3390681268239724,,,3.9654880891815343,4.04426764640472,3.871356419977885,4.1065961618530045,,,,,,,,,,,,,,,,,,4.2670662528405,4.227687568289113,4.261433364914607,4.189724001525591,,,,,,,,,,0.3705962568853707,0.2841733529865142,0.6818021057505143,0.6514623419844563,0.3119819608318212,0.9598865857949856,82.14182143420186,144.22089175918163,114.19415156395635,136.7048198923663,125.45419251446779,97.7245599192426,79.92470543916444,87.58838059044237,,,,,31.0,2.0,34.0,12.0,25.0,14.0,14.0,26.0,0.0,21.0,43.0,10.0,57.0,18.0,72.0,11.0,31.0,39.0,,,,,44.0,39.0,,,,,29.0,1.0,32.0,0.0,26.0,2.0,35.0,0.0,arms wide open
/home/bardia/downloads/five class dataset/neutral/neutral_459.jpg,1.5499803303236606,1.9908326484529888,3.912318118753973,5.617674392723009,1.728526794136782,3.4572495608135174,4.470014520143991,5.311056116552597,8.015313933500954,10.418089333743193,5.264932306793883,7.73213475432746,9.617692030835672,0.3393761213779155,0.4197043739557823,0.5570440763360022,0.5521576303742327,1.0,2.4563947847920105,4.090606596902629,0.8834522085987724,2.113961846473792,3.100179206289712,3.7611622490148773,6.4654596141094425,8.868277254541304,3.777339365602041,6.210512112910418,8.080388785623454,1.8070923207812488,1.8570162856299488,1.6788174958231292,1.6820428926406503,2.0365894227764145,3.8298853351264714,1.8805811245074373,2.7388601668486356,3.6181191118948917,3.725325325456531,6.346797839732113,8.726885846931072,4.054506676556828,6.3220910060158815,8.099984944279896,2.10818510677892,2.3926830649550084,1.816068000111728,2.342606428329092,1.8070923207812488,2.9934436034517287,2.463005412896333,2.8154625318573654,1.90029237516523,4.357499842575876,6.714059188442402,2.675037674176868,4.527842202810311,6.184275014306407,4.090606596902629,4.272874041500141,3.83342170276367,4.132133316491308,4.411889577912902,3.20251425617055,2.931004249034633,0.9024207132105492,2.5632909910127344,4.906994068256845,2.118763764934382,2.9714084695112057,4.443106167077727,5.8278138812205,5.946919678164201,5.597739574764395,5.762343884746072,1.761528038326469,2.7676509170984684,3.9137032553237487,6.599868603438695,8.988475005629669,3.645913181471724,6.147354951499791,8.06830595451175,2.05941555105426,1.8570162856299488,2.0927025096840546,1.5617376188860608,1.0127908261099992,2.4819128910813912,5.032145986051304,7.377270446526438,1.9268464202865967,4.429667168028789,6.365983447783427,3.7741094895384784,3.6173700189030336,3.7369465674125553,3.3223395942323224,2.0643443547955247,4.301162633521313,6.570237566497638,1.1049285989022488,3.523056076652938,5.4654618938143855,4.7866401702280905,4.624665812287279,4.743416490252568,4.3244123306433275,2.7075123833942225,5.109770650191746,1.2197560731756087,2.6352313834736494,4.375653261333058,5.559483706117931,5.597739574764395,5.3788706363411665,5.373829991773818,2.4028551219595764,3.1963732835858965,1.4655021245173168,1.9603107988745767,8.257377419182099,8.305237189246776,8.06225774829855,8.079717991268518,5.482789035678475,3.1567023375187717,1.534163790664271,10.65885130354632,10.70736645851653,10.459432537059072,10.479364158704085,2.5055493963954847,4.439292406811107,5.558752467711615,5.4758647582777735,5.4561568614251685,5.200844209145751,1.9426046270734998,8.012946840780284,7.963330593811955,7.879254776091343,7.696565946659179,9.887442420321657,9.865834396891296,9.73204691354143,9.608177411493383,0.5521576303742327,0.3789873827904607,0.8148353450645079,0.9024207132105492,0.3393761213779155,1.106766573999456,100.4258085258848,102.56602081033569,170.27063929078975,100.84030545433056,171.74681345384494,85.91438322002512,91.73570458892841,84.36405930170655,162.2187643853227,172.70681627286166,176.33806442448017,178.2454997184021,8.0,1.0,8.0,11.0,1.0,12.0,0.0,26.0,0.0,38.0,13.0,11.0,16.0,23.0,18.0,29.0,6.0,36.0,4.0,54.0,2.0,70.0,14.0,36.0,13.0,52.0,11.0,65.0,7.0,0.0,10.0,0.0,5.0,1.0,12.0,1.0,neutral
/home/bardia/downloads/five class dataset/arms wide open/armsWideOpen_199.jpg,2.0583336465525948,2.4685018384153468,4.043857705939787,,2.1242879911857573,,,5.755316997355841,,,5.5708601453115545,,,0.2688515707760572,0.4285872170894973,,1.1751460206124484,1.0,2.6975035123126334,,0.5826856325833838,,,3.715914944220205,,,3.593115285317311,,,2.192645048267573,2.0,,1.364697963105382,1.7429281134022894,,1.576518677524486,,,3.8088007121299334,,,3.863468981749989,,,2.4990714455944785,2.23606797749979,,1.3748643530872129,,3.2374016171567637,,,3.938224902746843,,,4.2734762745914505,,,4.0053843071889945,3.722200227796594,,2.8699139073400386,,,,,,,,,,,,,,,,3.6786086777086697,,,3.4515402320521784,,,2.3150413485774592,2.1826419150751617,,1.7405485583055786,,,,,,,,,,,,,,,,,,,,,,,,0.6766766189874969,,,5.906123468884497,5.714847570899918,,4.999336826046557,,,,,,,,,,,,,,,,,,5.746005416751437,5.5801966062546775,,4.933409353728806,,,,,,,,,,0.2844325170649898,,1.148317879445688,,0.872699704672695,,102.01224667347536,158.29574307761834,,,,88.47923033885624,99.41262943686615,77.1130509953508,,,,,5.0,0.0,5.0,10.0,10.0,11.0,18.0,16.0,,,2.0,10.0,,,,,3.0,29.0,,,,,0.0,27.0,,,,,6.0,0.0,7.0,1.0,,,9.0,5.0,arms wide open
/home/bardia/downloads/five class dataset/hands on hips/handsOnHips_30.jpg,1.6805014892596606,1.7256683949270468,3.4932925619764448,4.875909279857233,2.231912498679792,4.109838690399385,4.794424392248644,5.684899077984476,,,5.83637794968329,,,0.2377921429492572,0.3896162330820276,,0.8653628115167027,1.0,2.280995829809167,3.4700716817020107,1.0402188747230232,2.722797748862372,3.1335545873865644,4.146007634100143,,,4.171614419371154,,,1.897522520545232,1.8689498047783588,,1.5057150716745804,1.7680551175468862,3.1688164156590437,2.039357345894316,3.6095723010620815,3.6757954301673372,4.0331504285037205,,,4.378538298694679,,,1.8565412901764882,2.064510630152297,,2.0281350357463457,1.4455667000068102,3.0457667582258865,3.8535731031280616,3.1037743713723582,2.418713833653164,,,3.1301819733185856,,,3.621730502384787,3.824100826598181,,3.693105821966777,3.982535877788452,4.1634839714283185,2.8618634397089195,1.0520830281992255,,,2.1451892775673165,,,5.022369505264397,5.182879981049068,,4.961986429097281,1.87832545339612,2.786272350196128,4.447580749124799,,,4.145297616799544,,,2.469693125137446,2.245030000453096,,1.6264107509870367,1.6857390000623942,4.169551390407212,,,3.3220136461031498,,,4.347570655827754,4.1024763080938325,,3.4502913391248566,2.6025692580884305,,,1.6364589290139473,,,5.020294521487555,4.917279289570718,,4.37325361490644,,,1.3515701755289298,,,5.8533093654542165,5.958735478184407,,5.650299510203457,,,,,,,,,,,,,,,,,,6.038584026195222,6.039961842036292,,5.599033202724981,,,,,,,,,,0.4651302547095317,,1.0637226409081373,,0.6830943274261734,,75.41853163068006,107.73110487470065,160.74427235188753,135.8413644584509,102.7117215556353,107.91238574977,84.25563856920431,89.45359904890938,,,,,6.0,1.0,9.0,11.0,3.0,11.0,0.0,21.0,0.0,30.0,15.0,11.0,23.0,20.0,17.0,28.0,3.0,36.0,,,,,11.0,36.0,,,,,5.0,0.0,8.0,0.0,,,11.0,2.0,hands on hips
/home/bardia/downloads/five class dataset/hands on hips/handsOnHips_49.jpg,1.4705831640787228,1.238213720690538,2.561859998486212,3.6758641403534216,2.145856629744999,4.158636666649339,4.875559524085771,5.04644701863116,7.666741525565783,,5.542685049087979,7.933522221928159,,0.3128634564663626,0.3916446005512082,,0.9174111639263902,1.0,1.9501054946330496,2.707839160395604,0.9974586998307352,2.7898527016808568,3.4269230590855937,3.889958923354989,6.4441638368620024,,4.151938001475939,6.5641461311694025,,1.7828830059003065,1.6254700721604711,,1.4300105421311409,1.3411779274201912,2.439796137714497,1.9961892629718407,3.690329824218957,3.91014784865574,3.8311481879862326,6.459005848807974,,4.462116739775811,6.8099227011425265,,1.4959076336611474,1.5859537831191275,,1.7901390711423204,1.2290489462367509,2.8219677741879314,3.9225201549923567,3.384673360919902,2.69174872157454,5.302705068366281,,3.665671293702884,5.8522487017934175,,2.7903789542330464,2.923138958116907,,3.1046749566418863,3.3227617247880423,3.7544802004673885,2.5741285781446326,1.4641039188769347,4.075519687196748,,2.6030145715442967,4.657985225650443,,3.934135172795956,4.0063624044222745,,4.06363904778629,2.0409245844406114,3.26472512956022,4.256354308442047,6.6513664956606044,,4.141031459027746,6.536529961499148,,2.427364932597596,2.1310919848244136,,1.6364789991637632,2.124467364008172,3.9736370092262354,5.775530824368103,,3.1073374454532767,5.229125291192316,,4.451846464868643,4.170773521070674,,3.6630366931224296,2.0995612604210563,3.656841280213899,,0.9869996503396165,3.284499158673858,,5.1875145787880985,5.0520054172989735,,4.7614486463925125,2.6299450053596516,,1.5821533732454234,3.237447968072189,,5.322597451400151,5.348602937533835,,5.31084455142436,,2.6700601825668984,1.5480989347261689,,7.947284575924102,7.9577533250891666,,7.874146397074995,,,,,,,,2.4165151901660766,,5.8484921211757195,5.764054617040425,,5.546472895519804,,8.235339991051825,8.168799569305785,,7.962918001284965,,,,,0.4080512862943917,,1.0524883266069982,,0.6505440941307182,,56.357304952814175,111.98445077634581,143.3010030045244,130.10822781952274,103.19655624802185,119.55707826721094,83.71423898084062,85.91438322002512,175.6970099942595,,162.17774588289188,,6.0,1.0,11.0,10.0,4.0,10.0,0.0,18.0,1.0,27.0,18.0,10.0,27.0,21.0,18.0,33.0,4.0,37.0,5.0,55.0,,,14.0,39.0,15.0,56.0,,,5.0,0.0,7.0,0.0,,,12.0,0.0,hands on hips
/home/bardia/downloads/five class dataset/arms corssed/armsCrossed_375.jpg,1.2843204691547991,1.6824129444765419,2.6931316897241504,3.2756199951130363,1.6780416666586595,3.2094808174104155,,,,,,,,0.18531989051624104,,0.4141087849798025,0.4961701476604526,1.0,1.6862406161243657,2.1770376526115576,0.9143869417433228,2.0764475945154426,,,,,,,,1.4428062358942386,,1.362751039152709,1.3023875683944983,1.0484897770345236,1.6622589813191069,1.9037030513709399,2.7353006000132307,,,,,,,,1.7554432555246997,,1.488094625385732,1.960606710447112,0.6196724187712278,2.399201580058824,2.58105720880351,,,,,,,,2.784530690081424,,2.532807502254252,2.8993995545615863,2.761546507814556,2.5796972705476846,,,,,,,,3.3772952694770995,,3.138272256238715,3.4437187177845416,1.5898333180097497,,,,,,,,1.863350848686216,,1.9432979858559607,1.3983176654334242,,,,,,,,3.391459774424529,,3.399285212821628,2.9836131981759646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3424287072485168,0.6358464858092356,,,0.9085672291231459,94.04147756676045,110.78318212200097,170.02064668554792,109.02896132807145,,98.0828038415326,,,,,,,11.0,1.0,11.0,11.0,3.0,11.0,0.0,19.0,0.0,24.0,18.0,12.0,20.0,25.0,,,,,,,,,,,,,,,11.0,0.0,,,8.0,1.0,15.0,2.0,arms crossed
/home/bardia/downloads/five class dataset/neutral/neutral_405.jpg,1.5835769793043584,1.6353540032816696,3.6881734580670313,4.951150259170984,2.121684050436479,3.798655545139265,5.184035917609148,4.861825344354973,7.0455418878768405,9.031195934094221,4.922234762963708,7.279261935181865,9.250458780748174,0.2777777777777778,0.4006168083848877,0.4249182927993987,0.8374896350934075,1.0,2.3877581303157336,3.5333508035906322,1.0555555555555556,2.337463276267936,3.629121752071432,3.34995854037363,5.500631276903083,7.479653471209928,3.339115355603141,5.698304924479357,7.670389595268931,1.8446619684315544,1.7519830034690531,1.8138697463682787,1.6641184223055732,2.0899893673307424,3.388888888888889,2.055555555555556,3.1211395908672546,4.197019077369373,3.39934634239519,5.605676686280713,7.590249186690077,3.7542157373370455,5.9790013204651045,7.9233402670625175,1.7989194287435752,1.9755449318549496,1.6197088596792502,2.145372568294403,1.3161508600535703,3.0460711388140704,2.8363273940819584,3.095197394929804,1.5023130314433288,3.6381466588238456,5.593757543618612,2.4102725116150068,4.191131878115157,6.050265273237464,3.8774633747106133,3.9834728009057065,3.709451558410964,4.019435805872618,3.9635686626082163,3.151155970531653,2.7291578314813165,0.668977476599572,2.3728466521391347,4.295507989619957,1.9817843313041081,3.064381193449248,4.821025197052727,5.155753109241831,5.220005439664163,5.002777006601211,5.196820609222955,1.7658016750347576,3.263268262507148,3.611111111111111,5.585267768816704,7.5070440172243025,3.195531216102641,5.583955189250318,7.539300324480783,2.3975939585600097,2.0879578303295703,2.4826558857227035,1.7331641655340553,1.530048817102268,2.582138313802136,4.136930931362548,5.950542043989266,1.6668981320752776,3.948452580160712,5.8634803005184475,4.075767745597067,3.8261809280047325,4.105570590861056,3.4982358869847037,2.0602424045320733,2.8286999151335483,4.497598810668689,0.75,2.4590786691837594,4.34053888103514,5.455558384249097,5.26379727272955,5.442814381830575,4.979742915670732,2.206367049145621,4.192236357722731,1.312922477566275,2.6888544534066803,4.566551769303442,5.089477161534157,5.089477161534157,4.96966104117751,5.001002985821697,1.9880041483425432,2.4709734673895647,1.0588399195858844,2.457823236469294,7.280586820060897,7.2519154557797885,7.169949721744615,7.118919324285043,4.325223893441248,2.0534899531418023,1.1402430973207662,9.267667478596065,9.231630074215524,9.157950401457498,9.083715588287038,2.394695784694701,4.362084109434133,5.183366083021465,5.05586079664598,5.133555791235583,4.837562007131226,1.972808989396078,7.532849869769994,7.434487537031155,7.459872073837774,7.230604110478537,9.502761132207967,9.407279818324048,9.425225543360217,9.199646061361328,0.5,0.2859897261385278,1.0095989914103471,0.7627516787636657,0.5189317136741501,1.25,74.74488129694221,94.57392125990086,168.15107378220986,109.29004621918871,163.83208424292695,105.2551187030578,88.50566640873345,78.6900675259798,167.06340003428275,174.2633345470282,163.40387980784166,176.33878863938668,4.0,1.0,7.0,11.0,1.0,11.0,0.0,24.0,1.0,33.0,14.0,11.0,18.0,22.0,18.0,32.0,5.0,32.0,8.0,47.0,9.0,59.0,13.0,32.0,14.0,47.0,17.0,60.0,3.0,0.0,7.0,0.0,2.0,0.0,10.0,0.0,neutral
/home/bardia/downloads/five class dataset/arms wide open/armsWideOpen_327.jpg,,,,,,,,,,,,,,,,,,1.0,2.2810456731126663,,1.1075240142137257,2.6874615631392653,,2.3813543341636247,,,2.5323786377382227,,,,,0.8609115532632218,1.3765234364919552,1.2864686745932858,,2.107227888964953,3.683885657267392,,2.1939621218267567,,,2.845429226147936,,,,,0.8581075864429014,2.2473343587547485,,3.3878289915030444,4.949143807822232,,2.7260163978088032,,,3.750223939610381,,,,,1.8466998752327213,3.419836102791636,,,,,,,,,,,,,,1.5964015328473138,,2.9648541034488587,,,2.587740607677792,,,,,1.769743132780882,0.8938364200034935,,4.361912344385091,,,3.6251205282725616,,,,,3.206103868227909,1.7020951104268305,,,,,,,,,,,,,1.3092605127050747,,,,,2.9231603261719625,3.6500066706705137,,,,,,,,,,,,,,,,,,,,3.3175205433122463,3.4449593800807112,,,,,,,,,,,,,,,1.5880454691277472,,172.04332031054875,,167.13513009862947,,,74.72531563709518,88.13737905069333,,,,,,,26.0,8.0,36.0,7.0,49.0,5.0,,,15.0,8.0,0.0,6.0,,,36.0,29.0,,,,,24.0,33.0,,,,,,,,,31.0,1.0,15.0,0.0,arms wide open
/home/bardia/downloads/five class dataset/hands on hips/handsOnHips_447.jpg,1.8814417367671947,1.9393457522841704,4.893670284107576,6.6811053083747245,2.368674622869623,,,6.59377555776618,,,6.699375879001088,,,0.4059840007310109,0.5195300803849366,0.7141118625344277,0.9312661473328352,1.0,3.504895438582759,4.967148716485285,1.1973421894279308,,,4.760642479136539,,,4.820333958246726,,,2.1791956785267663,2.2626243670898343,1.7740134987663734,1.9777523669000527,2.9623373335722767,4.779195326056653,2.1961349798128347,,,4.805969739058223,,,5.175781758745175,,,2.0677143124416646,2.439534265721292,1.4668158277596992,2.44768266784685,2.240269026196299,4.419511245151176,,,2.857415442117152,,,4.040721919201888,,,4.971823262010886,5.400036873030452,4.336508933982873,5.370457537239453,5.499798870015108,,,1.132777930888471,,,2.694841023435876,,,6.8457240707683615,7.147312137892129,6.2418974027006175,6.944788585376463,,,5.052818367141988,,,4.728584700979383,,,2.7597373865058024,2.5285974985621005,2.5944546036239458,1.9370628253571256,,,,,,,,,,,,,,,,,,,,,,,,1.5631967473086874,,,6.818198578686827,7.016100321176584,6.259947835457965,6.705564985138202,,,,,,,,,,,,,,,,,,6.995099422395906,7.041988481239621,6.524290894910799,6.592181612112915,,,,,,,,,,0.6856622662527316,0.6397593574135747,1.285125936461626,1.2106642658482036,0.7195131097097869,1.5981875796736154,78.05582281155367,115.05308463522428,132.96688400125984,,,98.13010235415598,87.1778447001882,81.42228347498347,,,,,11.0,2.0,13.0,12.0,7.0,11.0,0.0,26.0,3.0,37.0,19.0,12.0,,,,,9.0,38.0,,,,,18.0,38.0,,,,,9.0,0.0,13.0,0.0,8.0,3.0,16.0,2.0,hands on hips
/home/bardia/downloads/five class dataset/arms wide open/armsWideOpen_488.jpg,,,,,,,,,,,,,,,,,,1.0,2.7741665415039525,4.575587393985606,0.8988882021697692,,,4.0880313110346895,6.8818602136341,9.808159868191384,3.9849717690342543,7.264158588577207,9.8812954616285,,,1.329661611087573,,1.8088670487352017,3.5821781083580984,1.8973665961010275,,,4.212362757408245,6.977105417004963,9.864684485577833,4.418144406874903,7.667594146797285,10.26138392225922,,,1.7888543819998317,,1.8439088914585773,3.667151483099655,,,4.440720662234903,6.9201156059707545,9.63036863261215,5.132640645905379,8.131912444191709,10.607544484940895,,,3.488266044899672,,5.4743036086793735,,,5.8309518948453,7.9604019998992515,10.418445181503811,6.733795363686067,9.499894736258923,11.842297074469972,,,5.0880251571705095,,,,4.252058325093859,6.990851164200251,9.915644204992432,3.855385843206877,7.075026501717149,9.6862789553058,,,1.414213562373095,,,,,,,,,,,,,,,,,,,,,,,2.7957110008010484,5.720139858430036,1.3446189051177289,3.697566767483719,6.17867299668788,,,5.403702434442519,,2.9298464123567967,3.328663395418648,2.352870587176439,3.988984833262719,,,8.192191404013947,,6.17867299668788,3.870917203971172,3.3105890714493693,,,11.121151019566273,,3.2802438933713454,5.896439603693062,,,5.190761023202668,,2.6183964558485027,,,8.446064172145507,,,,11.062730223593087,,,,,,,,,161.16438792128585,157.43299092212538,,,,91.71968003906989,76.04293075092764,178.03594195160568,176.8497724502287,177.2717813723499,175.0132920815662,,,32.0,8.0,25.0,7.0,12.0,9.0,0.0,6.0,38.0,9.0,,,,,27.0,37.0,24.0,57.0,20.0,77.0,37.0,37.0,41.0,60.0,44.0,78.0,,,,,35.0,0.0,,,arms wide open
